1,hsa-miR-432,1,Homo sapiens,9606,ENSG00000272458
2,SERF2,7,Homo sapiens,9606,ENSG00000140264
3,SLC6A6,2,Homo sapiens,9606,ENSG00000131389
4,taurine transporter (TauT) (Slc6a6),1,Mus musculus,10090,ENSMUSG00000030096
5,BAG3,13,Homo sapiens,9606,ENSG00000151929
6,FAS,2,Homo sapiens,9606,ENSG00000026103
7,ZFAND2B,2,Homo sapiens,9606,ENSG00000158552
8,p62 (SQSTM1),3,Homo sapiens,9606,ENSG00000161011
9,SERPINE1,4,Homo sapiens,9606,ENSG00000106366
10,NAT1 Human arylamine N-acetyltransferase 1 ,1,Homo sapiens,9606,ENSG00000171428
11,CLDN1,2,Homo sapiens,9606,ENSG00000163347
12,FUT4 ,2,Homo sapiens,9606,ENSG00000196371
13,IER5,10,Homo sapiens,9606,ENSG00000162783
14,JUN,9,Homo sapiens,9606,ENSG00000177606
15,Foxm1,2,Mus musculus,10090,ENSMUSG00000001517
16,C15orf63,11,Homo sapiens,9606,ENSG00000242028
17,Hsp72 (Hspa2),1,Rattus norvegicus,10116,ENSRNOG00000006472
18,Hsp83,2,Drosophila melanogaster,7227,FBgn0001233
19,Hsp70 (Hsp70Aa),1,Drosophila melanogaster,7227,FBgn0013275
20,HSPA1B,12,Homo sapiens,9606,ENSG00000204388
21,HSPA1A,12,Homo sapiens,9606,ENSG00000204389
22,STIP1,13,Homo sapiens,9606,ENSG00000168439
23,Hsp70Ab,1,Drosophila melanogaster,7227,FBgn0013276
24,FKBP4,12,Homo sapiens,9606,ENSG00000004478
25,HSP78,3,Saccharomyces cerevisiae,4932,YDR258C
26,MDJ1,3,Saccharomyces cerevisiae,4932,YFL016C
27,SSC1,3,Saccharomyces cerevisiae,4932,YJR045C
28,HSC82,3,Saccharomyces cerevisiae,4932,YMR186W
29,HSP82,3,Saccharomyces cerevisiae,4932,YPL240C
30,HSP10,3,Saccharomyces cerevisiae,4932,YOR020C
31,HSP60,3,Saccharomyces cerevisiae,4932,YLR259C
32,Per2 ,2,Mus musculus,10090,ENSMUSG00000055866
33,G-CSF (Csf3r),1,Mus musculus,10090,ENSMUSG00000028859
34,IL-6,4,Mus musculus,10090,ENSMUSG00000025746
35,Tnf,3,Mus musculus,10090,ENSMUSG00000024401
36,TNF ,4,Homo sapiens,9606,ENSG00000232810
37,CXCL1,2,Homo sapiens,9606,ENSG00000163739
38,CXCL2,2,Homo sapiens,9606,ENSG00000081041
39,CXCL-5,1,Homo sapiens,9606,ENSG00000163735
40,IL8,3,Homo sapiens,9606,ENSG00000169429
41,c-fos (FOS),1,Cricetulus griseus,10029,ENSCGRG00000002655
42,c-fms (Csf1),1,Cricetulus griseus,10029,ENSCGRG00000007535
43,il1b,1,Cricetulus griseus,10029,ENSCGRG00000000739
44,LIF1 (Lif),1,Mus musculus,10090,ENSMUSG00000034394
45,FGF1,1,Mus musculus,10090,ENSMUSG00000036585
46,FGF4,1,Mus musculus,10090,ENSMUSG00000050917
47,Fgf7,3,Mus musculus,10090,ENSMUSG00000027208
48,IL-1beta (Il1b),1,Homo sapiens,9606,ENSG00000125538
49,IL-10,1,Mus musculus,10090,ENSMUSG00000016529
50,acox-1  (acox-1.1),1,Caenorhabditis elegans,6239,WBGene00008564
51,dhs-28,1,Caenorhabditis elegans,6239,WBGene00000991
52,maoc-1 ,1,Caenorhabditis elegans,6239,WBGene00017123
53,daf-22,1,Caenorhabditis elegans,6239,WBGene00013284
54,Slc26a4,2,Mus musculus,10090,ENSMUSG00000020651
55,Phlda1,4,Mus musculus,10090,ENSMUSG00000020205
56,DNAJB1,14,Homo sapiens,9606,ENSG00000132002
57,taf7,2,Homo sapiens,9606,ENSG00000183214
58,MICB,2,Homo sapiens,9606,ENSG00000204516
59,PTGS2,3,Homo sapiens,9606,ENSG00000073756
60,cyp-35B1,1,Caenorhabditis elegans,6239,WBGene00019472
61,lactate dehydrogenase A,1,Homo sapiens,9606,ENSG00000134333
62,Ppargc1a,2,Mus musculus,10090,ENSMUSG00000029167
63,CUP1,3,Saccharomyces cerevisiae,4932,YHR053C
64,ABCB1,3,Homo sapiens,9606,ENSG00000085563
65,ABCB1 (Abcb1b),2,Mus musculus,10090,ENSMUSG00000028970
66,St8siaII,1,Mus musculus,10090,ENSMUSG00000025789
67,St8siaIV,1,Mus musculus,10090,ENSMUSG00000040710
68,Dmd,2,Mus musculus,10090,ENSMUSG00000045103
69,Sly,1,Mus musculus,10090,ENSMUSG00000101155
70,Ssty1,3,Mus musculus,10090,ENSMUSG00000095267
71,Ssty2,3,Mus musculus,10090,ENSMUSG00000095302
72,Srsy,1,Mus musculus,10090,ENSMUSG00000096819
73,Slx,1,Mus musculus,10090,ENSMUSG00000095063
74,Ott,1,Mus musculus,10090,ENSMUSG00000094885
75,miR-34a,1,Mus musculus,10090,ENSMUSG00000065493
76,TXNIP,2,Homo sapiens,9606,ENSG00000265972
77,HLA-G,1,Homo sapiens,9606,ENSG00000204632
78,NFIX,2,Homo sapiens,9606,ENSG00000008441
79,Transthyretin (TTR),1,Mus musculus,10090,ENSMUSG00000061808
80,daf-7,1,Caenorhabditis elegans,6239,WBGene00000903
81,TRPV1,1,Rattus norvegicus,10116,ENSRNOG00000019486
82,ATF3,1,Mus musculus,10090,ENSMUSG00000026628
83,Sfpi1,2,Mus musculus,10090,ENSMUSG00000002111
84,UBB,12,Homo sapiens,9606,ENSG00000170315
85,ERO1,3,Saccharomyces cerevisiae,4932,YML130C
86,BTN2,3,Saccharomyces cerevisiae,4932,YGR142W
87,NEAT1,2,Homo sapiens,9606,ENSG00000245532
88,FOXO3 ,1,Homo sapiens,9606,ENSG00000118689
89,MIR137,1,Homo sapiens,9606,ENSG00000284202
